title,channel_title,category,views,likes,comment_count,engagement_rate,like_ratio,sentiment,publish_country,published_day_of_week,publish_hour,title_length,tag_count
Ø­ØµØ±ÙŠØ§ !! Ø£ÙˆÙ„ ØªØµØ±ÙŠØ­ Ù„Ù„Ø¨Ø§Ø¦Ø¹Ø© Ø§Ù„Ù…ØªØ¬ÙˆÙ„Ø© Ø§Ù„ØªÙŠ Ù†ØµÙ€Ø¨ Ø¹Ù„ÙŠÙ‡Ø§ ØµØ§Ø­Ø¨ Ø³ÙŠØ§Ø±Ø© ÙØ®Ù…Ø© Ø¨Ø§Ù„Ù…Ø­Ù…Ø¯ÙŠØ©,media live | Ù…ÙŠØ¯ÙŠØ§ Ù„Ø§ÙŠÙ,News & Politics,484674,10714,3781,0.0299,0.927,neutral,FRANCE,Tuesday,8,140,7
Rich The Kid - Dead Friends,RichTheKidVEVO,Music,11195300,165846,11539,0.0158,0.9328,positive,GB,Monday,16,27,8
I DID THE DANTDM DRAWING CHALLENGE!!!,DanTDM,Gaming,919029,32985,14042,0.0512,0.9857,positive,CANADA,Saturday,19,37,14
6IX9INE Gotti (WSHH Exclusive - Official Music Video),WORLDSTARHIPHOP,Music,60027356,951742,131633,0.018,0.8998,positive,GB,Sunday,18,53,32
50 AMAZING Facts to Blow Your Mind! #94,MatthewSantoro,Education,550137,14717,1273,0.0291,0.9443,positive,US,Wednesday,19,39,8
100-year-old and 102-year-old runners break world records,CBS News,News & Politics,444660,6275,477,0.0152,0.9776,neutral,GB,Monday,16,57,6
I Went to a Butler Cafe.,akidearest,Education,323867,28362,3379,0.098,0.9969,neutral,US,Friday,23,24,39
Ariana Grande - No Tears Left To Cry (BTS - Part 1),Ariana Grande`,Music,3887583,236776,16663,0.0652,0.9907,negative,GB,Monday,20,51,6
ANARKALI WEB SERIES | SEASON 3 EPISODE 6 | A TANGLED WEB,Ms Mutta,Film & Animation,4953,214,35,0.0503,0.9727,neutral,CANADA,Friday,1,56,24
L'Interview BFF de Stromae,Konbini,Entertainment,407749,11349,351,0.0287,0.9817,positive,FRANCE,Monday,11,26,9
CHVRCHES - Miracle (Official Video),ChvrchesVEVO,Music,1040720,22810,1383,0.0232,0.9604,positive,GB,Wednesday,4,35,6
"The Flash 4x16 Ending Scene Season 4 Episode 16 [HD] Run, Iris, Run",AresPromo,Entertainment,145153,0,480,0.0033,0.0,neutral,CANADA,Wednesday,1,67,16
Tom Clancyâ€™s Ghost Recon Wildlands: Ghost War â€“ Update #2 â€“ Jungle Storm | Ubisoft [US],Ubisoft US,Gaming,35683,894,298,0.0334,0.9634,negative,GB,Friday,15,93,30
Star Wars: The Last Jedi | Phasma's End - Deleted Scene,Star Wars,Entertainment,991931,19243,3102,0.0225,0.9296,negative,US,Wednesday,1,55,6
Ruining your childhood! Dan and Phil Play: POPTROPICA,DanAndPhilGAMES,Gaming,853875,77516,15403,0.1088,0.9946,positive,GB,Sunday,21,53,38
Falcon Heavy Makes History - Cheaper Spaceflight,ColdFusion,Autos & Vehicles,301122,19022,1868,0.0694,0.9882,neutral,US,Thursday,10,48,10
Sridevi last minute pictures in |Emirates Tower hotel l Heart Attack-Exclusive Photos|Dubai|,Yes Man,Entertainment,3703074,3714,0,0.001,0.6087,positive,CANADA,Sunday,1,92,22
Vald - DÃ©saccordÃ©,VALDVEVO,Music,576627,64480,4100,0.1189,0.9818,neutral,FRANCE,Thursday,15,19,24
DIY THRIFT STORE PROM DRESS MAKEOVER!,Amber Scholl,Howto & Style,2272385,87005,7804,0.0417,0.9475,neutral,US,Saturday,17,37,11
Ty Dolla $ign - Clout feat. 21 Savage [Lyric Video],Ty Dolla $ign,Music,5947451,74360,1257,0.0127,0.9729,negative,GB,Wednesday,16,51,23
Terre de passions - Episode 150,Mes Telenovelas,Comedy,83672,1115,288,0.0168,0.953,positive,FRANCE,Wednesday,7,31,24
First Person Mario 64,Kaze Emanuar,Gaming,102675,2001,615,0.0255,0.9838,neutral,GB,Friday,17,21,10
LES PIRES PUBLICITÃ‰S,CYRIL /SUPERKONAR,Comedy,558307,44085,1951,0.0825,0.9883,neutral,FRANCE,Wednesday,12,21,5
Tinashe - No Drama (Official Video) ft. Offset,TinasheOfficialVEVO,Music,7957154,195359,11278,0.026,0.9681,negative,GB,Thursday,21,46,8
Trixie Mattel Performs Live at RuPaul's DragCon 2018! Get Tix Now!,WOWPresents,Entertainment,137868,5878,657,0.0474,0.9516,neutral,GB,Saturday,15,66,15
Un gars une fille - au restaurant - compilation,Un gars une fille | Officiel,Comedy,63822,1638,110,0.0274,0.982,neutral,FRANCE,Tuesday,17,47,11
GOOGLE PICKS MY MAKEUP CHALLENGE! Carli Bybel,Carli Bybel,Howto & Style,484395,21950,1600,0.0486,0.9679,positive,US,Sunday,15,45,18
Dating a Sociopath | Hannah Stocking,Hannah Stocking,Comedy,1992386,81058,3002,0.0422,0.9711,neutral,CANADA,Wednesday,17,36,21
L'anniversaire trÃ¨s mÃ©diatique de NEYMAR - Quotidien du 06 fÃ©vrier 2018,Quotidien,Entertainment,208038,1969,252,0.0107,0.8966,neutral,FRANCE,Tuesday,17,74,5
Megyn Kelly Escalates Feud With Jane Fonda | The View,The View,News & Politics,587242,3054,2266,0.0091,0.5519,negative,US,Tuesday,16,53,0
"Shields and Brooks on Russia revelations, Trump-Bannon rift",PBS NewsHour,News & Politics,108410,974,0,0.009,0.9285,neutral,CANADA,Saturday,0,59,0
"BAAGHI - Episode 27 | Ep 27 | Urdu1 á´´á´° Drama | Saba Qamar, Osman Khalid, Khalid Malik, Ali Kazmi",Best Pakistani Dramas,Entertainment,496157,4195,1586,0.0117,0.9118,neutral,CANADA,Thursday,15,100,32
They NEVER Stopped Appearing..,secureteam10,Science & Technology,331607,13419,4419,0.0538,0.9482,positive,CANADA,Friday,9,30,21
What If 2017 Never Happened?? | CHRIS AND BRITTANY,Chris Reinacher,People & Blogs,66471,3638,194,0.0576,0.9,neutral,US,Wednesday,20,50,22
Wild Christmas,Birdbox Studio,Film & Animation,22695,1174,85,0.0555,0.9727,neutral,US,Friday,13,14,11
Prince Death Scene Video Released by Cops | TMZ,TMZ,Entertainment,772531,2315,1305,0.0047,0.7161,negative,US,Thursday,22,47,25
TAYLOR SWIFT HAS WRONG OPINION! - Ray Gun Recap,Chris Ray Gun,Entertainment,235025,22222,2863,0.1067,0.986,negative,CANADA,Tuesday,21,47,9
Calum Scott - If Our Love Is Wrong (Audio),CalumScottVEVO,Music,2515417,39151,612,0.0158,0.9902,positive,GB,Friday,5,42,11
Cole Sprouse on Interning at the Met and His Artistic Aspirations | Met Gala 2018 With Liza Koshy,Vogue,Howto & Style,1292298,46204,1068,0.0366,0.9966,neutral,US,Tuesday,4,97,25
TRUMP A RENCONTRÃ‰ KIM. QUE RETENIR ? (images et dÃ©cryptage),HugoDÃ©crypte,News & Politics,22474,1979,378,0.1049,0.9935,neutral,FRANCE,Tuesday,15,61,18
K.Flay - Run For Your Life (From The Original Motion Picture â€œTomb Raiderâ€/Audio),KFlayVEVO,Music,58470,3903,257,0.0711,0.9824,positive,US,Friday,5,85,9
Pod et Marichou - Saison 2 - Episode  53,Marodi TV SÃ©nÃ©gal,Entertainment,339499,3298,1070,0.0129,0.8825,neutral,FRANCE,Tuesday,20,40,8
"Laavaan Phere Trailer Roshan Prince, Rubina Bajwa | Latest Punjabi Movie 2018 | Releasing 9 Feb",T-Series Apna Punjab,Music,1836341,45771,1028,0.0255,0.9863,neutral,CANADA,Friday,4,95,17
FÃ©lix TSHISEKEDI Ã  rÃ©pondre BOKETSHU na ESSO pe abebani na MoÃ¯se KATUMBI,Cleboaoriginale. com,People & Blogs,14088,86,107,0.0137,0.637,neutral,FRANCE,Friday,8,76,0
KUWTK | Kourtney Kardashian Accidentally Snapchats From Friend's Phone! | E!,E! Entertainment,Entertainment,848771,5937,341,0.0074,0.9135,negative,US,Monday,6,76,31
Sexual Harassment in Congress: A Closer Look,Late Night with Seth Meyers,Comedy,1458340,15135,2039,0.0118,0.9639,negative,CANADA,Friday,2,44,31
2 wingsuit flyers BASE jump into a plane in mid-air. | A Door In The Sky,Red Bull,Sports,2801054,28934,1959,0.011,0.9812,neutral,GB,Tuesday,16,72,51
Would You Text About A STD? â€“ Part 2,The Real Daytime,Entertainment,55267,621,227,0.0153,0.9734,neutral,CANADA,Friday,14,38,8
Every Pixar Movie Reviewed in 10 Words or Less!,JelloApocalypse,Comedy,455808,22008,3896,0.0568,0.935,neutral,CANADA,Friday,15,47,30
Quand les DJ...ðŸ˜‚,100% RIRES,People & Blogs,2258,13,0,0.0058,0.8125,neutral,FRANCE,Tuesday,16,19,0
Ø¢Ù‚Ø§ÛŒ Ø¨Ù†ÛŒ ØµØ¯Ø±ØŒ Ú†Ø±Ø§ Ø¢Ù‚Ø§ÛŒ Ø®Ø§Ù…Ù†Ù‡ Ø§ÛŒ Ø¨Ø¹Ø¯ Ø§Ø² Ú†Ù‡Ø§Ø± Ù‡ÙØªÙ‡ ÙˆØ§Ø±Ø¯ Ú©Ø´Ù…Ú©Ø´ Ø§Ø­Ù…Ø¯ÛŒ Ù†Ú˜Ø§Ø¯ Ø¨Ø§ Ù„Ø§Ø±ÛŒØ¬Ø§Ù†ÛŒ Ø´Ø¯ØŸ,Iran Mosahebe,News & Politics,18373,165,18,0.01,0.8639,neutral,CANADA,Wednesday,20,155,26
Laeticia  : AprÃ¨s avoir quittÃ© St-Barth s'assura-t-elle que la tombe de Johnny restera fleurie?,koi de neuf? Buzz,Entertainment,8619,41,1,0.0049,0.8367,neutral,FRANCE,Friday,18,97,1
Maze Runner: The Death Cure | Any Ideas Clip | 20th Century FOX,20th Century Fox,Film & Animation,2382407,8000,686,0.0036,0.9943,negative,US,Wednesday,13,63,24
Dimanche Tout Est Permis S01 Episode 19 28-01-2018 Partie 02,Elhiwar Ettounsi,Entertainment,149149,595,213,0.0054,0.7355,negative,FRANCE,Monday,1,60,33
The Grinch - Official Trailer (HD),Illumination,Entertainment,3221044,48369,9578,0.018,0.7779,neutral,CANADA,Thursday,16,34,14
THE 15:17 TO PARIS - Official Trailer [HD],Warner Bros. Pictures,Entertainment,572973,5838,630,0.0113,0.9488,neutral,US,Wednesday,14,42,20
(HY)Chronique : Migos - Culture 2,HYCONIQ MAG,Film & Animation,24388,2846,419,0.1339,0.9934,neutral,FRANCE,Friday,18,33,10
Ralph Breaks The Internet: Wreck-It Ralph 2 Official Teaser Trailer,Walt Disney Animation Studios,Film & Animation,19023565,283704,51648,0.0176,0.9552,negative,US,Wednesday,13,67,16
David Archuleta - Seasons ft. Madilyn Paige (Official Music Video),David Archuleta,Music,92199,4342,310,0.0505,0.9835,neutral,US,Friday,5,66,0
